time,open,high,low,close,volume,low_time,high_time
2020-11-12 04:00:00,1.17819,1.17835,1.17779,1.17806,1116,2020-11-12 04:14:00,2020-11-12 04:00:00
2020-11-12 05:00:00,1.17806,1.17814,1.17724,1.17734,1099,2020-11-12 05:47:00,2020-11-12 05:20:00
2020-11-12 06:00:00,1.17735,1.17763,1.17695,1.17701,1012,2020-11-12 06:55:00,2020-11-12 06:04:00
2020-11-12 07:00:00,1.17701,1.17742,1.17678,1.17738,1061,2020-11-12 07:04:00,2020-11-12 07:42:00
2020-11-12 08:00:00,1.17738,1.17744,1.17587,1.17654,1514,2020-11-12 08:35:00,2020-11-12 08:00:00
2020-11-12 09:00:00,1.17651,1.17752,1.17628,1.177,1913,2020-11-12 09:03:00,2020-11-12 09:54:00
2020-11-12 10:00:00,1.177,1.17921,1.177,1.17892,2421,2020-11-12 10:00:00,2020-11-12 10:34:00
2020-11-12 11:00:00,1.17892,1.18121,1.17841,1.18092,2334,2020-11-12 11:12:00,2020-11-12 11:41:00
2020-11-12 12:00:00,1.18092,1.18202,1.18088,1.18104,1948,2020-11-12 12:00:00,2020-11-12 12:41:00
2020-11-12 13:00:00,1.18104,1.18232,1.18083,1.18104,1632,2020-11-12 13:56:00,2020-11-12 13:12:00
2020-11-12 14:00:00,1.18104,1.18131,1.17916,1.17982,2090,2020-11-12 14:51:00,2020-11-12 14:03:00
2020-11-12 15:00:00,1.17987,1.18125,1.17901,1.18096,2682,2020-11-12 15:12:00,2020-11-12 15:58:00
2020-11-12 16:00:00,1.18095,1.18135,1.17874,1.17966,2948,2020-11-12 16:32:00,2020-11-12 16:00:00
2020-11-12 17:00:00,1.17968,1.18159,1.17929,1.18105,2861,2020-11-12 17:02:00,2020-11-12 17:49:00
2020-11-12 18:00:00,1.18107,1.18176,1.18095,1.18142,2034,2020-11-12 18:00:00,2020-11-12 18:29:00
2020-11-12 19:00:00,1.18142,1.1815,1.17986,1.18001,1778,2020-11-12 19:58:00,2020-11-12 19:03:00
2020-11-12 20:00:00,1.17998,1.18104,1.17961,1.18104,1619,2020-11-12 20:07:00,2020-11-12 20:58:00
2020-11-12 21:00:00,1.18103,1.18113,1.18011,1.18061,1510,2020-11-12 21:20:00,2020-11-12 21:02:00
2020-11-12 22:00:00,1.18062,1.18075,1.17992,1.18067,1376,2020-11-12 22:13:00,2020-11-12 22:59:00
2020-11-12 23:00:00,1.1807,1.18092,1.1804,1.18053,441,2020-11-12 23:50:00,2020-11-12 23:03:00
2020-11-13 00:00:00,1.17999,1.18074,1.17999,1.18066,215,2020-11-13 00:05:00,2020-11-13 00:47:00
2020-11-13 01:00:00,1.18066,1.18078,1.1803,1.18042,752,2020-11-13 01:52:00,2020-11-13 01:09:00
2020-11-13 02:00:00,1.18041,1.18137,1.18039,1.18072,970,2020-11-13 02:00:00,2020-11-13 02:56:00
2020-11-13 03:00:00,1.1807,1.18134,1.18067,1.18086,1374,2020-11-13 03:00:00,2020-11-13 03:19:00
2020-11-13 04:00:00,1.18085,1.18085,1.1801,1.18044,1287,2020-11-13 04:30:00,2020-11-13 04:00:00
2020-11-13 05:00:00,1.18046,1.18067,1.18008,1.18023,875,2020-11-13 05:59:00,2020-11-13 05:09:00
2020-11-13 06:00:00,1.1802,1.18056,1.17993,1.18038,743,2020-11-13 06:11:00,2020-11-13 06:56:00
2020-11-13 07:00:00,1.18038,1.18098,1.18032,1.18064,888,2020-11-13 07:12:00,2020-11-13 07:53:00
2020-11-13 08:00:00,1.18069,1.18092,1.18033,1.18072,969,2020-11-13 08:13:00,2020-11-13 08:32:00
2020-11-13 09:00:00,1.18072,1.18178,1.18008,1.18157,1637,2020-11-13 09:12:00,2020-11-13 09:58:00
2020-11-13 10:00:00,1.18154,1.18227,1.18088,1.1814,2073,2020-11-13 10:07:00,2020-11-13 10:38:00
2020-11-13 11:00:00,1.18139,1.18272,1.1807,1.18268,1929,2020-11-13 11:39:00,2020-11-13 11:55:00
2020-11-13 12:00:00,1.18269,1.18344,1.1821,1.18263,1672,2020-11-13 12:58:00,2020-11-13 12:17:00
2020-11-13 13:00:00,1.18259,1.18305,1.18151,1.18178,1578,2020-11-13 13:51:00,2020-11-13 13:16:00
2020-11-13 14:00:00,1.18178,1.18194,1.18119,1.18162,1513,2020-11-13 14:13:00,2020-11-13 14:53:00
2020-11-13 15:00:00,1.18163,1.18265,1.18084,1.18207,1965,2020-11-13 15:32:00,2020-11-13 15:48:00
2020-11-13 16:00:00,1.18204,1.18259,1.18136,1.18168,2173,2020-11-13 16:32:00,2020-11-13 16:06:00
2020-11-13 17:00:00,1.18168,1.18316,1.18148,1.182,2513,2020-11-13 17:00:00,2020-11-13 17:09:00
2020-11-13 18:00:00,1.18201,1.18293,1.18178,1.18239,1645,2020-11-13 18:36:00,2020-11-13 18:13:00
2020-11-13 19:00:00,1.18238,1.18315,1.18228,1.18264,1128,2020-11-13 19:02:00,2020-11-13 19:09:00
2020-11-13 20:00:00,1.18264,1.18332,1.18243,1.1825,913,2020-11-13 20:59:00,2020-11-13 20:12:00
2020-11-13 21:00:00,1.1825,1.1835,1.18243,1.18328,930,2020-11-13 21:04:00,2020-11-13 21:44:00
2020-11-13 22:00:00,1.18327,1.18353,1.18306,1.18323,1003,2020-11-13 22:57:00,2020-11-13 22:27:00
2020-11-13 23:00:00,1.18327,1.18372,1.18322,1.1833,449,2020-11-13 23:01:00,2020-11-13 23:25:00
2020-11-16 00:00:00,1.18373,1.18413,1.18294,1.18369,364,2020-11-16 00:05:00,2020-11-16 00:29:00
2020-11-16 01:00:00,1.18369,1.18488,1.18369,1.18448,1025,2020-11-16 01:00:00,2020-11-16 01:47:00
2020-11-16 02:00:00,1.18446,1.18453,1.18376,1.18398,1069,2020-11-16 02:07:00,2020-11-16 02:00:00
2020-11-16 03:00:00,1.18397,1.18489,1.18383,1.1848,1197,2020-11-16 03:02:00,2020-11-16 03:38:00
2020-11-16 04:00:00,1.18481,1.18501,1.18453,1.185,928,2020-11-16 04:27:00,2020-11-16 04:03:00
2020-11-16 05:00:00,1.185,1.18542,1.18495,1.18524,960,2020-11-16 05:51:00,2020-11-16 05:06:00
2020-11-16 06:00:00,1.18524,1.18547,1.1851,1.18517,488,2020-11-16 06:05:00,2020-11-16 06:25:00
2020-11-16 07:00:00,1.18517,1.18529,1.18471,1.18472,698,2020-11-16 07:58:00,2020-11-16 07:12:00
2020-11-16 08:00:00,1.18471,1.18515,1.18464,1.18515,948,2020-11-16 08:00:00,2020-11-16 08:59:00
2020-11-16 09:00:00,1.18517,1.18569,1.18443,1.18559,1495,2020-11-16 09:34:00,2020-11-16 09:53:00
2020-11-16 10:00:00,1.18559,1.18687,1.18537,1.18593,1927,2020-11-16 10:01:00,2020-11-16 10:41:00
2020-11-16 11:00:00,1.18593,1.18606,1.18405,1.1845,1999,2020-11-16 11:26:00,2020-11-16 11:02:00
2020-11-16 12:00:00,1.1845,1.18477,1.18351,1.18443,1977,2020-11-16 12:08:00,2020-11-16 12:58:00
2020-11-16 13:00:00,1.18441,1.18492,1.18261,1.18294,2249,2020-11-16 13:59:00,2020-11-16 13:25:00
2020-11-16 14:00:00,1.18294,1.18492,1.18255,1.18335,3527,2020-11-16 14:25:00,2020-11-16 14:11:00
2020-11-16 15:00:00,1.18336,1.18348,1.18142,1.18209,3202,2020-11-16 15:42:00,2020-11-16 15:00:00
2020-11-16 16:00:00,1.18212,1.18349,1.18189,1.18268,2844,2020-11-16 16:02:00,2020-11-16 16:35:00
2020-11-16 17:00:00,1.18269,1.1842,1.18208,1.1835,2456,2020-11-16 17:01:00,2020-11-16 17:47:00
2020-11-16 18:00:00,1.18351,1.18455,1.18348,1.18437,1815,2020-11-16 18:36:00,2020-11-16 18:20:00
2020-11-16 19:00:00,1.18438,1.18441,1.18388,1.18418,1168,2020-11-16 19:11:00,2020-11-16 19:35:00
2020-11-16 20:00:00,1.18418,1.18466,1.18368,1.18399,1103,2020-11-16 20:21:00,2020-11-16 20:34:00
2020-11-16 21:00:00,1.18399,1.18463,1.18382,1.18425,1053,2020-11-16 21:03:00,2020-11-16 21:28:00
2020-11-16 22:00:00,1.18427,1.18525,1.18423,1.18523,912,2020-11-16 22:03:00,2020-11-16 22:59:00
2020-11-16 23:00:00,1.18523,1.18564,1.18491,1.18557,595,2020-11-16 23:09:00,2020-11-16 23:50:00
2020-11-17 00:00:00,1.18511,1.18566,1.18503,1.18558,340,2020-11-17 00:10:00,2020-11-17 00:33:00
2020-11-17 01:00:00,1.18558,1.18607,1.18557,1.18594,864,2020-11-17 01:01:00,2020-11-17 01:34:00
2020-11-17 02:00:00,1.18594,1.18645,1.18588,1.18643,887,2020-11-17 02:00:00,2020-11-17 02:59:00
2020-11-17 03:00:00,1.18642,1.18665,1.18598,1.18599,944,2020-11-17 03:55:00,2020-11-17 03:17:00
2020-11-17 04:00:00,1.18599,1.18669,1.18592,1.18624,816,2020-11-17 04:11:00,2020-11-17 04:46:00
2020-11-17 05:00:00,1.18624,1.18626,1.18591,1.18604,848,2020-11-17 05:55:00,2020-11-17 05:00:00
2020-11-17 06:00:00,1.18604,1.18608,1.18576,1.18591,518,2020-11-17 06:44:00,2020-11-17 06:38:00
2020-11-17 07:00:00,1.18594,1.18594,1.18542,1.18563,581,2020-11-17 07:57:00,2020-11-17 07:00:00
2020-11-17 08:00:00,1.18563,1.18585,1.18517,1.18558,1047,2020-11-17 08:09:00,2020-11-17 08:31:00
2020-11-17 09:00:00,1.1856,1.18597,1.18461,1.18463,1477,2020-11-17 09:59:00,2020-11-17 09:14:00
2020-11-17 10:00:00,1.18461,1.18757,1.18429,1.18741,2440,2020-11-17 10:00:00,2020-11-17 10:59:00
2020-11-17 11:00:00,1.18741,1.18752,1.1865,1.1868,2173,2020-11-17 11:26:00,2020-11-17 11:01:00
2020-11-17 12:00:00,1.18678,1.18769,1.18654,1.18748,1588,2020-11-17 12:07:00,2020-11-17 12:42:00
2020-11-17 13:00:00,1.18748,1.18856,1.18748,1.18778,1669,2020-11-17 13:00:00,2020-11-17 13:31:00
2020-11-17 14:00:00,1.18775,1.18811,1.18667,1.18807,1604,2020-11-17 14:48:00,2020-11-17 14:59:00
2020-11-17 15:00:00,1.18808,1.18937,1.18727,1.1886,2443,2020-11-17 15:35:00,2020-11-17 15:50:00
2020-11-17 16:00:00,1.1886,1.1886,1.18667,1.18718,2344,2020-11-17 16:55:00,2020-11-17 16:00:00
2020-11-17 17:00:00,1.18716,1.18765,1.18578,1.18761,2506,2020-11-17 17:39:00,2020-11-17 17:59:00
2020-11-17 18:00:00,1.18762,1.18775,1.18606,1.18613,1925,2020-11-17 18:47:00,2020-11-17 18:00:00
2020-11-17 19:00:00,1.18612,1.18657,1.18574,1.1863,1379,2020-11-17 19:11:00,2020-11-17 19:38:00
2020-11-17 20:00:00,1.18631,1.18688,1.18625,1.18676,903,2020-11-17 20:28:00,2020-11-17 20:58:00
2020-11-17 21:00:00,1.18676,1.18693,1.18635,1.18643,921,2020-11-17 21:56:00,2020-11-17 21:16:00
2020-11-17 22:00:00,1.18643,1.18661,1.18615,1.18653,883,2020-11-17 22:24:00,2020-11-17 22:58:00
2020-11-17 23:00:00,1.18654,1.18663,1.18617,1.18617,443,2020-11-17 23:50:00,2020-11-17 23:27:00
2020-11-18 00:00:00,1.18622,1.1865,1.18605,1.18628,417,2020-11-18 00:27:00,2020-11-18 00:15:00
2020-11-18 01:00:00,1.18628,1.18642,1.18607,1.18638,582,2020-11-18 01:13:00,2020-11-18 01:44:00
2020-11-18 02:00:00,1.18636,1.1866,1.18556,1.1859,1061,2020-11-18 02:47:00,2020-11-18 02:02:00
2020-11-18 03:00:00,1.18587,1.18593,1.18505,1.18547,1224,2020-11-18 03:44:00,2020-11-18 03:00:00
2020-11-18 04:00:00,1.18546,1.18601,1.18536,1.18589,955,2020-11-18 04:00:00,2020-11-18 04:58:00
2020-11-18 05:00:00,1.18589,1.18623,1.18574,1.18623,763,2020-11-18 05:02:00,2020-11-18 05:59:00
2020-11-18 06:00:00,1.18622,1.18697,1.18606,1.18682,826,2020-11-18 06:07:00,2020-11-18 06:50:00
2020-11-18 07:00:00,1.18683,1.18772,1.18672,1.18734,1192,2020-11-18 07:01:00,2020-11-18 07:37:00
2020-11-18 08:00:00,1.18735,1.18785,1.18694,1.18769,1324,2020-11-18 08:29:00,2020-11-18 08:56:00
2020-11-18 09:00:00,1.18768,1.18863,1.18759,1.18828,1761,2020-11-18 09:00:00,2020-11-18 09:57:00
2020-11-18 10:00:00,1.18826,1.18909,1.18761,1.18782,2290,2020-11-18 10:58:00,2020-11-18 10:28:00
2020-11-18 11:00:00,1.18782,1.18893,1.18763,1.18882,1816,2020-11-18 11:00:00,2020-11-18 11:52:00
2020-11-18 12:00:00,1.18882,1.18883,1.18722,1.1877,1711,2020-11-18 12:51:00,2020-11-18 12:00:00
2020-11-18 13:00:00,1.1877,1.18788,1.18697,1.18726,1848,2020-11-18 13:11:00,2020-11-18 13:47:00
2020-11-18 14:00:00,1.18723,1.18725,1.18618,1.18673,2106,2020-11-18 14:39:00,2020-11-18 14:00:00
2020-11-18 15:00:00,1.18672,1.18698,1.18517,1.1859,2414,2020-11-18 15:48:00,2020-11-18 15:16:00
2020-11-18 16:00:00,1.18595,1.1873,1.18543,1.18657,2259,2020-11-18 16:06:00,2020-11-18 16:44:00
2020-11-18 17:00:00,1.18658,1.18768,1.18638,1.18749,2348,2020-11-18 17:18:00,2020-11-18 17:57:00
2020-11-18 18:00:00,1.1875,1.18765,1.18626,1.18689,1822,2020-11-18 18:48:00,2020-11-18 18:00:00
2020-11-18 19:00:00,1.18689,1.1872,1.18644,1.18696,1467,2020-11-18 19:21:00,2020-11-18 19:08:00
2020-11-18 20:00:00,1.18696,1.18701,1.18645,1.18653,1184,2020-11-18 20:58:00,2020-11-18 20:00:00
2020-11-18 21:00:00,1.18653,1.18678,1.18586,1.18637,1325,2020-11-18 21:38:00,2020-11-18 21:04:00
2020-11-18 22:00:00,1.18637,1.18671,1.1853,1.1853,1050,2020-11-18 22:59:00,2020-11-18 22:15:00
2020-11-18 23:00:00,1.18528,1.18563,1.18493,1.1855,524,2020-11-18 23:14:00,2020-11-18 23:50:00
2020-11-19 00:00:00,1.18545,1.18569,1.18511,1.18515,309,2020-11-19 00:57:00,2020-11-19 00:35:00
2020-11-19 01:00:00,1.18515,1.18535,1.1845,1.18453,513,2020-11-19 01:59:00,2020-11-19 01:38:00
2020-11-19 02:00:00,1.18452,1.18452,1.1832,1.1837,1691,2020-11-19 02:14:00,2020-11-19 02:00:00
2020-11-19 03:00:00,1.18372,1.18435,1.18337,1.18428,1305,2020-11-19 03:02:00,2020-11-19 03:57:00
2020-11-19 04:00:00,1.18428,1.18512,1.18427,1.18456,1336,2020-11-19 04:00:00,2020-11-19 04:45:00
2020-11-19 05:00:00,1.18456,1.18485,1.18412,1.18422,898,2020-11-19 05:58:00,2020-11-19 05:11:00
2020-11-19 06:00:00,1.18422,1.18479,1.18412,1.1847,955,2020-11-19 06:03:00,2020-11-19 06:56:00
2020-11-19 07:00:00,1.1847,1.18522,1.18428,1.18504,859,2020-11-19 07:21:00,2020-11-19 07:58:00
2020-11-19 08:00:00,1.18504,1.1852,1.18456,1.18509,1239,2020-11-19 08:25:00,2020-11-19 08:56:00
2020-11-19 09:00:00,1.18507,1.18522,1.18426,1.18445,1604,2020-11-19 09:59:00,2020-11-19 09:20:00
2020-11-19 10:00:00,1.18445,1.18498,1.18221,1.18268,2553,2020-11-19 10:55:00,2020-11-19 10:01:00
2020-11-19 11:00:00,1.1827,1.18355,1.18227,1.18297,2195,2020-11-19 11:01:00,2020-11-19 11:47:00
2020-11-19 12:00:00,1.18296,1.18324,1.18164,1.18273,2154,2020-11-19 12:16:00,2020-11-19 12:04:00
2020-11-19 13:00:00,1.18274,1.18385,1.18232,1.18381,1739,2020-11-19 13:21:00,2020-11-19 13:51:00
2020-11-19 14:00:00,1.18382,1.18415,1.18323,1.18359,1511,2020-11-19 14:40:00,2020-11-19 14:58:00
2020-11-19 15:00:00,1.18364,1.18365,1.18275,1.18303,2034,2020-11-19 15:37:00,2020-11-19 15:00:00
2020-11-19 16:00:00,1.18306,1.18333,1.18186,1.18312,2485,2020-11-19 16:33:00,2020-11-19 16:58:00
2020-11-19 17:00:00,1.18312,1.18456,1.18284,1.18398,2655,2020-11-19 17:26:00,2020-11-19 17:47:00
2020-11-19 18:00:00,1.18397,1.18446,1.18347,1.18422,1756,2020-11-19 18:13:00,2020-11-19 18:31:00
2020-11-19 19:00:00,1.18422,1.18507,1.18408,1.18464,1289,2020-11-19 19:01:00,2020-11-19 19:36:00
2020-11-19 20:00:00,1.18464,1.18541,1.18463,1.18539,1025,2020-11-19 20:08:00,2020-11-19 20:59:00
2020-11-19 21:00:00,1.18539,1.18758,1.18531,1.18757,1398,2020-11-19 21:00:00,2020-11-19 21:59:00
2020-11-19 22:00:00,1.18757,1.18802,1.1874,1.18789,1290,2020-11-19 22:00:00,2020-11-19 22:39:00
2020-11-19 23:00:00,1.18788,1.18825,1.18764,1.18764,540,2020-11-19 23:47:00,2020-11-19 23:14:00
2020-11-20 00:00:00,1.18745,1.18751,1.18686,1.18701,237,2020-11-20 00:51:00,2020-11-20 00:07:00
2020-11-20 01:00:00,1.18701,1.18722,1.18652,1.18654,792,2020-11-20 01:59:00,2020-11-20 01:00:00
2020-11-20 02:00:00,1.18655,1.18748,1.18655,1.18747,1119,2020-11-20 02:00:00,2020-11-20 02:58:00
2020-11-20 03:00:00,1.18748,1.18782,1.18739,1.18767,1140,2020-11-20 03:00:00,2020-11-20 03:53:00
2020-11-20 04:00:00,1.18767,1.1877,1.18706,1.1873,866,2020-11-20 04:41:00,2020-11-20 04:00:00
2020-11-20 05:00:00,1.1873,1.18789,1.18725,1.18757,913,2020-11-20 05:01:00,2020-11-20 05:27:00
2020-11-20 06:00:00,1.18757,1.18862,1.18747,1.18847,988,2020-11-20 06:11:00,2020-11-20 06:44:00
2020-11-20 07:00:00,1.18847,1.18908,1.18812,1.18841,1026,2020-11-20 07:30:00,2020-11-20 07:42:00
2020-11-20 08:00:00,1.18839,1.18888,1.18808,1.18838,1291,2020-11-20 08:06:00,2020-11-20 08:30:00
2020-11-20 09:00:00,1.18837,1.18863,1.18662,1.18697,1823,2020-11-20 09:43:00,2020-11-20 09:04:00
2020-11-20 10:00:00,1.18698,1.18742,1.18661,1.18733,2080,2020-11-20 10:39:00,2020-11-20 10:02:00
2020-11-20 11:00:00,1.18733,1.18733,1.18562,1.18595,2377,2020-11-20 11:26:00,2020-11-20 11:00:00
2020-11-20 12:00:00,1.18592,1.18599,1.18514,1.18545,2023,2020-11-20 12:25:00,2020-11-20 12:07:00
2020-11-20 13:00:00,1.18545,1.1875,1.18526,1.18739,1910,2020-11-20 13:00:00,2020-11-20 13:56:00
2020-11-20 14:00:00,1.18738,1.18783,1.18679,1.18718,1644,2020-11-20 14:15:00,2020-11-20 14:01:00
2020-11-20 15:00:00,1.18717,1.18718,1.18566,1.18678,1808,2020-11-20 15:28:00,2020-11-20 15:00:00
2020-11-20 16:00:00,1.18678,1.18759,1.18674,1.18694,2172,2020-11-20 16:00:00,2020-11-20 16:46:00
2020-11-20 17:00:00,1.18693,1.18738,1.18503,1.18544,2208,2020-11-20 17:55:00,2020-11-20 17:06:00
2020-11-20 18:00:00,1.18544,1.18632,1.18532,1.18565,1560,2020-11-20 18:02:00,2020-11-20 18:17:00
2020-11-20 19:00:00,1.18563,1.18578,1.18506,1.18543,1136,2020-11-20 19:34:00,2020-11-20 19:00:00
2020-11-20 20:00:00,1.18542,1.18592,1.185,1.18577,946,2020-11-20 20:13:00,2020-11-20 20:46:00
2020-11-20 21:00:00,1.18579,1.18587,1.18548,1.18582,874,2020-11-20 21:00:00,2020-11-20 21:07:00
2020-11-20 22:00:00,1.18583,1.18617,1.18571,1.18582,947,2020-11-20 22:02:00,2020-11-20 22:26:00
