Date,Open,High,Low,Close,Adj Close,Volume,Market and Exchange Names,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Commercial Positions-Long (All),Commercial Positions-Short (All),Nonreportable Positions-Long (All),Nonreportable Positions-Short (All),Net_Position_NonComm,Net_Position_Comm,Net_Position_NonRept,COT_Index_NonComm,COT_Index_Comm,COT_Index_NonRept,COT_Index_OI,OI_Percentage_Comm,OI_Percentage_Short
2023-03-14,86.2249984741211,86.32499694824219,85.0250015258789,85.4000015258789,85.4000015258789,22379,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,221848.0,64009.0,71471.0,78908.0,70858.0,26048.0,26636.0,-7462.0,8050.0,-588.0,,,,,,
2023-03-15,85.19999694824219,85.4000015258789,83.57499694824219,83.75,83.75,30113,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,221848.0,64009.0,71471.0,78908.0,70858.0,26048.0,26636.0,-7462.0,8050.0,-588.0,,,,,,
2023-03-16,83.5,83.75,79.0999984741211,79.44999694824219,79.44999694824219,43358,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,221848.0,64009.0,71471.0,78908.0,70858.0,26048.0,26636.0,-7462.0,8050.0,-588.0,,,,,,
2023-03-17,79.8499984741211,80.75,78.30000305175781,79.875,79.875,28652,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,221848.0,64009.0,71471.0,78908.0,70858.0,26048.0,26636.0,-7462.0,8050.0,-588.0,,,,,,
2023-03-20,78.69999694824219,79.0250015258789,77.42500305175781,77.7750015258789,77.7750015258789,21236,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,215701.0,64228.0,69945.0,81207.0,74512.0,23861.0,24839.0,-5717.0,6695.0,-978.0,,,,,,
2023-03-21,77.57499694824219,78.0999984741211,77.0,77.05000305175781,77.05000305175781,12827,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,215701.0,64228.0,69945.0,81207.0,74512.0,23861.0,24839.0,-5717.0,6695.0,-978.0,,,,,,
2023-03-22,77.0999984741211,77.5,75.94999694824219,76.07499694824219,76.07499694824219,11592,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,215701.0,64228.0,69945.0,81207.0,74512.0,23861.0,24839.0,-5717.0,6695.0,-978.0,,,,,,
2023-03-23,76.07499694824219,76.44999694824219,75.125,75.75,75.75,9494,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,215701.0,64228.0,69945.0,81207.0,74512.0,23861.0,24839.0,-5717.0,6695.0,-978.0,,,,,,
2023-03-24,75.75,77.5250015258789,75.625,77.17500305175781,77.17500305175781,9243,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,215701.0,64228.0,69945.0,81207.0,74512.0,23861.0,24839.0,-5717.0,6695.0,-978.0,,,,,,
2023-03-27,77.2249984741211,79.94999694824219,77.17500305175781,78.625,78.625,10158,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,220266.0,63404.0,81057.0,80723.0,63373.0,25180.0,24877.0,-17653.0,17350.0,303.0,,,,,,
