"Market and Exchange Names","As of Date in Form YYMMDD","As of Date in Form YYYY-MM-DD","CFTC Contract Market Code","CFTC Market Code in Initials","CFTC Region Code","CFTC Commodity Code","Open Interest (All)","Noncommercial Positions-Long (All)","Noncommercial Positions-Short (All)","Noncommercial Positions-Spreading (All)","Commercial Positions-Long (All)","Commercial Positions-Short (All)"," Total Reportable Positions-Long (All)","Total Reportable Positions-Short (All)","Nonreportable Positions-Long (All)","Nonreportable Positions-Short (All)","Open Interest (Old)","Noncommercial Positions-Long (Old)","Noncommercial Positions-Short (Old)","Noncommercial Positions-Spreading (Old)","Commercial Positions-Long (Old)","Commercial Positions-Short (Old)","Total Reportable Positions-Long (Old)","Total Reportable Positions-Short (Old)","Nonreportable Positions-Long (Old)","Nonreportable Positions-Short (Old)","Open Interest (Other)","Noncommercial Positions-Long (Other)","Noncommercial Positions-Short (Other)","Noncommercial Positions-Spreading (Other)","Commercial Positions-Long (Other)","Commercial Positions-Short (Other)","Total Reportable Positions-Long (Other)","Total Reportable Positions-Short (Other)","Nonreportable Positions-Long (Other)","Nonreportable Positions-Short (Other)","Change in Open Interest (All)","Change in Noncommercial-Long (All)","Change in Noncommercial-Short (All)","Change in Noncommercial-Spreading (All)","Change in Commercial-Long (All)","Change in Commercial-Short (All)","Change in Total Reportable-Long (All)","Change in Total Reportable-Short (All)","Change in Nonreportable-Long (All)","Change in Nonreportable-Short (All)","% of Open Interest (OI) (All)","% of OI-Noncommercial-Long (All)","% of OI-Noncommercial-Short (All)","% of OI-Noncommercial-Spreading (All)","% of OI-Commercial-Long (All)","% of OI-Commercial-Short (All)","% of OI-Total Reportable-Long (All)","% of OI-Total Reportable-Short (All)","% of OI-Nonreportable-Long (All)","% of OI-Nonreportable-Short (All)","% of Open Interest (OI)(Old)","% of OI-Noncommercial-Long (Old)","% of OI-Noncommercial-Short (Old)","% of OI-Noncommercial-Spreading (Old)","% of OI-Commercial-Long (Old)","% of OI-Commercial-Short (Old)","% of OI-Total Reportable-Long (Old)","% of OI-Total Reportable-Short (Old)","% of OI-Nonreportable-Long (Old)","% of OI-Nonreportable-Short (Old)","% of Open Interest (OI) (Other)","% of OI-Noncommercial-Long (Other)","% of OI-Noncommercial-Short (Other)","% of OI-Noncommercial-Spreading (Other)","% of OI-Commercial-Long (Other)","% of OI-Commercial-Short (Other)","% of OI-Total Reportable-Long (Other)","% of OI-Total Reportable-Short (Other)","% of OI-Nonreportable-Long (Other)","% of OI-Nonreportable-Short (Other)","Traders-Total (All)","Traders-Noncommercial-Long (All)","Traders-Noncommercial-Short (All)","Traders-Noncommercial-Spreading (All)","Traders-Commercial-Long (All)","Traders-Commercial-Short (All)","Traders-Total Reportable-Long (All)","Traders-Total Reportable-Short (All)","Traders-Total (Old)","Traders-Noncommercial-Long (Old)","Traders-Noncommercial-Short (Old)","Traders-Noncommercial-Spreading (Old)","Traders-Commercial-Long (Old)","Traders-Commercial-Short (Old)","Traders-Total Reportable-Long (Old)","Traders-Total Reportable-Short (Old)","Traders-Total (Other)","Traders-Noncommercial-Long (Other)","Traders-Noncommercial-Short (Other)","Traders-Noncommercial-Spreading (Other)","Traders-Commercial-Long (Other)","Traders-Commercial-Short (Other)","Traders-Total Reportable-Long (Other)","Traders-Total Reportable-Short (Other)","Concentration-Gross LT = 4 TDR-Long (All)","Concentration-Gross LT =4 TDR-Short (All)","Concentration-Gross LT =8 TDR-Long (All)","Concentration-Gross LT =8 TDR-Short (All)","Concentration-Net LT =4 TDR-Long (All)","Concentration-Net LT =4 TDR-Short (All)","Concentration-Net LT =8 TDR-Long (All)","Concentration-Net LT =8 TDR-Short (All)","Concentration-Gross LT =4 TDR-Long (Old)","Concentration-Gross LT =4 TDR-Short (Old)","Concentration-Gross LT =8 TDR-Long (Old)","Concentration-Gross LT =8 TDR-Short (Old)","Concentration-Net LT =4 TDR-Long (Old)","Concentration-Net LT =4 TDR-Short (Old)","Concentration-Net LT =8 TDR-Long (Old)","Concentration-Net LT =8 TDR-Short (Old)","Concentration-Gross LT =4 TDR-Long (Other)","Concentration-Gross LT =4 TDR-Short(Other)","Concentration-Gross LT =8 TDR-Long (Other)","Concentration-Gross LT =8 TDR-Short(Other)","Concentration-Net LT =4 TDR-Long (Other)","Concentration-Net LT =4 TDR-Short (Other)","Concentration-Net LT =8 TDR-Long (Other)","Concentration-Net LT =8 TDR-Short (Other)","Contract Units","CFTC Contract Market Code (Quotes)","CFTC Market Code in Initials (Quotes)","CFTC Commodity Code (Quotes)"
"ERCOT SOUTH 345 KV RT PEAK FIX - ICE FUTURES ENERGY DIV",240102,2024-01-02,06439S,IFED,01,064 ,   35890,       0,    8614,       0,   35362,   27081,   35362,   35695,     528,     195,   35890,       0,    8614,       0,   35362,   27081,   35362,   35695,     528,     195,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  100.0,    0.0,   24.0,    0.0,   98.5,   75.5,   98.5,   99.5,    1.5,    0.5,  100.0,    0.0,   24.0,    0.0,   98.5,   75.5,   98.5,   99.5,    1.5,    0.5,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     23,      0,      3,      0,     15,     15,     15,     18,     23,      0,      3,      0,     15,     15,     15,     18,      0,      0,      0,      0,      0,      0,      0,      0,    66.3,    55.7,    91.7,    85.7,    57.2,    55.7,    74.2,    75.8,    66.3,    55.7,    91.7,    85.7,    57.2,    55.7,    74.2,    75.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 Mwh per Peak Hour","06439S","IFED","064 "
"ERCOT-SOUTH MONTHLY OFFPEAK - ICE FUTURES ENERGY DIV",240123,2024-01-23,06439U,IFED,01,064 ,   33882,       0,    8280,       0,   33162,   25422,   33162,   33702,     720,     180,   33882,       0,    8280,       0,   33162,   25422,   33162,   33702,     720,     180,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     600,       0,     600,       0,     600,       0,     600,     600,       0,       0,  100.0,    0.0,   24.4,    0.0,   97.9,   75.0,   97.9,   99.5,    2.1,    0.5,  100.0,    0.0,   24.4,    0.0,   97.9,   75.0,   97.9,   99.5,    2.1,    0.5,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     21,      0,      3,      0,     14,     12,     14,     15,     21,      0,      3,      0,     14,     12,     14,     15,      0,      0,      0,      0,      0,      0,      0,      0,    72.8,    52.5,    92.2,    85.3,    64.1,    52.5,    76.2,    74.9,    72.8,    52.5,    92.2,    85.3,    64.1,    52.5,    76.2,    74.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 MW","06439U","IFED","064 "
"ERCOT-SOUTH MONTHLY OFFPEAK - ICE FUTURES ENERGY DIV",240116,2024-01-16,06439U,IFED,01,064 ,   33282,       0,    7680,       0,   32562,   25422,   32562,   33102,     720,     180,   33282,       0,    7680,       0,   32562,   25422,   32562,   33102,     720,     180,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  100.0,    0.0,   23.1,    0.0,   97.8,   76.4,   97.8,   99.5,    2.2,    0.5,  100.0,    0.0,   23.1,    0.0,   97.8,   76.4,   97.8,   99.5,    2.2,    0.5,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     21,      0,      3,      0,     14,     12,     14,     15,     21,      0,      3,      0,     14,     12,     14,     15,      0,      0,      0,      0,      0,      0,      0,      0,    72.3,    51.6,    92.1,    85.1,    63.5,    51.6,    75.7,    74.5,    72.3,    51.6,    92.1,    85.1,    63.5,    51.6,    75.7,    74.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 MW","06439U","IFED","064 "
"ERCOT-SOUTH MONTHLY OFFPEAK - ICE FUTURES ENERGY DIV",240109,2024-01-09,06439U,IFED,01,064 ,   33282,       0,    7680,       0,   32562,   25422,   32562,   33102,     720,     180,   33282,       0,    7680,       0,   32562,   25422,   32562,   33102,     720,     180,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    -781,       0,    -184,       0,    -933,    -592,    -933,    -776,     152,      -5,  100.0,    0.0,   23.1,    0.0,   97.8,   76.4,   97.8,   99.5,    2.2,    0.5,  100.0,    0.0,   23.1,    0.0,   97.8,   76.4,   97.8,   99.5,    2.2,    0.5,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     21,      0,      3,      0,     14,     12,     14,     15,     21,      0,      3,      0,     14,     12,     14,     15,      0,      0,      0,      0,      0,      0,      0,      0,    72.3,    51.6,    92.1,    85.1,    63.5,    51.6,    75.7,    74.5,    72.3,    51.6,    92.1,    85.1,    63.5,    51.6,    75.7,    74.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 MW","06439U","IFED","064 "
"ERCOT-SOUTH MONTHLY OFFPEAK - ICE FUTURES ENERGY DIV",240102,2024-01-02,06439U,IFED,01,064 ,   34063,       0,    7864,       0,   33495,   26014,   33495,   33878,     568,     185,   34063,       0,    7864,       0,   33495,   26014,   33495,   33878,     568,     185,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  100.0,    0.0,   23.1,    0.0,   98.3,   76.4,   98.3,   99.5,    1.7,    0.5,  100.0,    0.0,   23.1,    0.0,   98.3,   76.4,   98.3,   99.5,    1.7,    0.5,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     23,      0,      3,      0,     15,     15,     15,     18,     23,      0,      3,      0,     15,     15,     15,     18,      0,      0,      0,      0,      0,      0,      0,      0,    71.7,    51.2,    91.6,    84.3,    63.0,    51.2,    75.1,    74.0,    71.7,    51.2,    91.6,    84.3,    63.0,    51.2,    75.1,    74.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 MW","06439U","IFED","064 "
"ERCOT WEST 345KV RT PEAK - ICE FUTURES ENERGY DIV",240123,2024-01-23,06439V,IFED,01,064 ,   33145,     841,    5064,     808,   30862,   26730,   32511,   32602,     634,     543,   33145,     841,    5064,     808,   30862,   26730,   32511,   32602,     634,     543,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     400,      60,       0,       0,      -7,     400,      53,     400,     347,       0,  100.0,    2.5,   15.3,    2.4,   93.1,   80.6,   98.1,   98.4,    1.9,    1.6,  100.0,    2.5,   15.3,    2.4,   93.1,   80.6,   98.1,   98.4,    1.9,    1.6,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     25,      3,      3,      3,     15,     15,     19,     20,     25,      3,      3,      3,     15,     15,     19,     20,      0,      0,      0,      0,      0,      0,      0,      0,    64.6,    54.5,    84.1,    84.0,    58.5,    51.5,    73.5,    73.1,    64.6,    54.5,    84.1,    84.0,    58.5,    51.5,    73.5,    73.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 Mwh per peak hour","06439V","IFED","064 "
"ERCOT WEST 345KV RT PEAK - ICE FUTURES ENERGY DIV",240116,2024-01-16,06439V,IFED,01,064 ,   32745,     781,    5064,     808,   30869,   26330,   32458,   32202,     287,     543,   32745,     781,    5064,     808,   30869,   26330,   32458,   32202,     287,     543,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     610,      60,    -150,     688,    -147,      68,     601,     606,       9,       4,  100.0,    2.4,   15.5,    2.5,   94.3,   80.4,   99.1,   98.3,    0.9,    1.7,  100.0,    2.4,   15.5,    2.5,   94.3,   80.4,   99.1,   98.3,    0.9,    1.7,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     25,      3,      3,      3,     15,     15,     19,     20,     25,      3,      3,      3,     15,     15,     19,     20,      0,      0,      0,      0,      0,      0,      0,      0,    65.4,    55.1,    85.2,    84.9,    62.1,    51.9,    77.1,    73.8,    65.4,    55.1,    85.2,    84.9,    62.1,    51.9,    77.1,    73.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 Mwh per peak hour","06439V","IFED","064 "
"ERCOT WEST 345KV RT PEAK - ICE FUTURES ENERGY DIV",240109,2024-01-09,06439V,IFED,01,064 ,   32135,     721,    5214,     120,   31016,   26262,   31857,   31596,     278,     539,   32135,     721,    5214,     120,   31016,   26262,   31857,   31596,     278,     539,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -1912,       0,    -724,       0,   -1918,   -1586,   -1918,   -2310,       6,     398,  100.0,    2.2,   16.2,    0.4,   96.5,   81.7,   99.1,   98.3,    0.9,    1.7,  100.0,    2.2,   16.2,    0.4,   96.5,   81.7,   99.1,   98.3,    0.9,    1.7,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     25,      3,      3,      1,     16,     15,     19,     19,     25,      3,      3,      1,     16,     15,     19,     19,      0,      0,      0,      0,      0,      0,      0,      0,    66.6,    56.4,    87.3,    86.5,    63.7,    54.0,    79.0,    75.4,    66.6,    56.4,    87.3,    86.5,    63.7,    54.0,    79.0,    75.4,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 Mwh per peak hour","06439V","IFED","064 "
"ERCOT WEST 345KV RT PEAK - ICE FUTURES ENERGY DIV",240102,2024-01-02,06439V,IFED,01,064 ,   34047,     721,    5938,     120,   32934,   27848,   33775,   33906,     272,     141,   34047,     721,    5938,     120,   32934,   27848,   33775,   33906,     272,     141,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      -6,      25,     -25,       0,     -55,      19,     -30,      -6,      24,       0,  100.0,    2.1,   17.4,    0.4,   96.7,   81.8,   99.2,   99.6,    0.8,    0.4,  100.0,    2.1,   17.4,    0.4,   96.7,   81.8,   99.2,   99.6,    0.8,    0.4,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     30,      3,      4,      1,     20,     18,     23,     23,     30,      3,      4,      1,     20,     18,     23,     23,      0,      0,      0,      0,      0,      0,      0,      0,    65.8,    55.5,    86.3,    85.4,    63.8,    53.3,    78.6,    74.4,    65.8,    55.5,    86.3,    85.4,    63.8,    53.3,    78.6,    74.4,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 Mwh per peak hour","06439V","IFED","064 "
"ERCOT WEST 345K RT OFF-PEAK - ICE FUTURES ENERGY DIV",240123,2024-01-23,06439W,IFED,01,064 ,   30267,     841,    5064,     808,   27964,   23827,   29613,   29699,     654,     568,   30267,     841,    5064,     808,   27964,   23827,   29613,   29699,     654,     568,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     420,      60,       0,       0,      13,     420,      73,     420,     347,       0,  100.0,    2.8,   16.7,    2.7,   92.4,   78.7,   97.8,   98.1,    2.2,    1.9,  100.0,    2.8,   16.7,    2.7,   92.4,   78.7,   97.8,   98.1,    2.2,    1.9,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     25,      3,      3,      3,     15,     15,     19,     20,     25,      3,      3,      3,     15,     15,     19,     20,      0,      0,      0,      0,      0,      0,      0,      0,    54.4,    50.7,    79.3,    81.7,    47.0,    47.2,    63.2,    63.4,    54.4,    50.7,    79.3,    81.7,    47.0,    47.2,    63.2,    63.4,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 MWh per Off-Peak Hour","06439W","IFED","064 "
"ERCOT WEST 345K RT OFF-PEAK - ICE FUTURES ENERGY DIV",240116,2024-01-16,06439W,IFED,01,064 ,   29847,     781,    5064,     808,   27951,   23407,   29540,   29279,     307,     568,   29847,     781,    5064,     808,   27951,   23407,   29540,   29279,     307,     568,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     669,      60,    -150,     688,     -88,     127,     660,     665,       9,       4,  100.0,    2.6,   17.0,    2.7,   93.6,   78.4,   99.0,   98.1,    1.0,    1.9,  100.0,    2.6,   17.0,    2.7,   93.6,   78.4,   99.0,   98.1,    1.0,    1.9,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     25,      3,      3,      3,     15,     15,     19,     20,     25,      3,      3,      3,     15,     15,     19,     20,      0,      0,      0,      0,      0,      0,      0,      0,    55.8,    51.1,    80.3,    82.6,    50.7,    47.7,    67.2,    64.0,    55.8,    51.1,    80.3,    82.6,    50.7,    47.7,    67.2,    64.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 MWh per Off-Peak Hour","06439W","IFED","064 "
"ERCOT WEST 345K RT OFF-PEAK - ICE FUTURES ENERGY DIV",240109,2024-01-09,06439W,IFED,01,064 ,   29178,     721,    5214,     120,   28039,   23280,   28880,   28614,     298,     564,   29178,     721,    5214,     120,   28039,   23280,   28880,   28614,     298,     564,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -1620,       0,    -724,       0,   -1618,   -1265,   -1618,   -1989,      -2,     369,  100.0,    2.5,   17.9,    0.4,   96.1,   79.8,   99.0,   98.1,    1.0,    1.9,  100.0,    2.5,   17.9,    0.4,   96.1,   79.8,   99.0,   98.1,    1.0,    1.9,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     25,      3,      3,      1,     16,     15,     19,     19,     25,      3,      3,      1,     16,     15,     19,     19,      0,      0,      0,      0,      0,      0,      0,      0,    57.0,    52.5,    82.5,    84.4,    52.3,    49.9,    69.2,    65.7,    57.0,    52.5,    82.5,    84.4,    52.3,    49.9,    69.2,    65.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 MWh per Off-Peak Hour","06439W","IFED","064 "
"ERCOT WEST 345K RT OFF-PEAK - ICE FUTURES ENERGY DIV",240102,2024-01-02,06439W,IFED,01,064 ,   30798,     721,    5938,     120,   29657,   24545,   30498,   30603,     300,     195,   30798,     721,    5938,     120,   29657,   24545,   30498,   30603,     300,     195,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      -6,      25,     -25,       0,     -55,      19,     -30,      -6,      24,       0,  100.0,    2.3,   19.3,    0.4,   96.3,   79.7,   99.0,   99.4,    1.0,    0.6,  100.0,    2.3,   19.3,    0.4,   96.3,   79.7,   99.0,   99.4,    1.0,    0.6,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     30,      3,      4,      1,     20,     19,     23,     24,     30,      3,      4,      1,     20,     19,     23,     24,      0,      0,      0,      0,      0,      0,      0,      0,    56.8,    52.0,    81.6,    83.0,    52.8,    48.6,    69.1,    64.3,    56.8,    52.0,    81.6,    83.0,    52.8,    48.6,    69.1,    64.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 MWh per Off-Peak Hour","06439W","IFED","064 "
"ERCOT - NORTH MONTHLY OFF-PEAK - ICE FUTURES ENERGY DIV",240123,2024-01-23,0643A8,IFED,01,064 ,  125625,   18405,    5008,    3041,  103577,  116703,  125023,  124752,     602,     873,  125625,   18405,    5008,    3041,  103577,  116703,  125023,  124752,     602,     873,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    4940,       0,     826,     940,    4001,    2986,    4941,    4752,      -1,     188,  100.0,   14.7,    4.0,    2.4,   82.4,   92.9,   99.5,   99.3,    0.5,    0.7,  100.0,   14.7,    4.0,    2.4,   82.4,   92.9,   99.5,   99.3,    0.5,    0.7,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     42,      3,      9,      8,     21,     27,     30,     39,     42,      3,      9,      8,     21,     27,     30,     39,      0,      0,      0,      0,      0,      0,      0,      0,    56.9,    62.4,    80.2,    76.5,    52.8,    54.7,    67.3,    63.5,    56.9,    62.4,    80.2,    76.5,    52.8,    54.7,    67.3,    63.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 Mwh per Off-Peak Hour","0643A8","IFED","064 "
"ERCOT - NORTH MONTHLY OFF-PEAK - ICE FUTURES ENERGY DIV",240116,2024-01-16,0643A8,IFED,01,064 ,  120685,   18405,    4182,    2101,   99576,  113717,  120082,  120000,     603,     685,  120685,   18405,    4182,    2101,   99576,  113717,  120082,  120000,     603,     685,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     617,    -560,      60,     685,     767,     -66,     892,     679,    -275,     -62,  100.0,   15.3,    3.5,    1.7,   82.5,   94.2,   99.5,   99.4,    0.5,    0.6,  100.0,   15.3,    3.5,    1.7,   82.5,   94.2,   99.5,   99.4,    0.5,    0.6,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     39,      3,      6,      6,     21,     27,     29,     35,     39,      3,      6,      6,     21,     27,     29,     35,      0,      0,      0,      0,      0,      0,      0,      0,    58.3,    64.8,    80.8,    78.3,    54.7,    59.3,    69.7,    68.8,    58.3,    64.8,    80.8,    78.3,    54.7,    59.3,    69.7,    68.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 Mwh per Off-Peak Hour","0643A8","IFED","064 "
"ERCOT - NORTH MONTHLY OFF-PEAK - ICE FUTURES ENERGY DIV",240109,2024-01-09,0643A8,IFED,01,064 ,  120068,   18965,    4122,    1416,   98809,  113783,  119190,  119321,     878,     747,  120068,   18965,    4122,    1416,   98809,  113783,  119190,  119321,     878,     747,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -2799,   -1706,    -245,     238,   -1116,   -2199,   -2584,   -2206,    -215,    -593,  100.0,   15.8,    3.4,    1.2,   82.3,   94.8,   99.3,   99.4,    0.7,    0.6,  100.0,   15.8,    3.4,    1.2,   82.3,   94.8,   99.3,   99.4,    0.7,    0.6,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     37,      4,      6,      4,     20,     25,     27,     32,     37,      4,      6,      4,     20,     25,     27,     32,      0,      0,      0,      0,      0,      0,      0,      0,    57.4,    65.4,    82.5,    78.7,    53.6,    60.1,    70.1,    70.7,    57.4,    65.4,    82.5,    78.7,    53.6,    60.1,    70.1,    70.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 Mwh per Off-Peak Hour","0643A8","IFED","064 "
"ERCOT - NORTH MONTHLY OFF-PEAK - ICE FUTURES ENERGY DIV",240102,2024-01-02,0643A8,IFED,01,064 ,  122867,   20671,    4367,    1178,   99925,  115982,  121774,  121527,    1093,    1340,  122867,   20671,    4367,    1178,   99925,  115982,  121774,  121527,    1093,    1340,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    -384,     -25,   -1751,     -12,    -143,    1320,    -180,    -443,    -204,      59,  100.0,   16.8,    3.6,    1.0,   81.3,   94.4,   99.1,   98.9,    0.9,    1.1,  100.0,   16.8,    3.6,    1.0,   81.3,   94.4,   99.1,   98.9,    0.9,    1.1,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     39,      5,      5,      4,     22,     26,     29,     33,     39,      5,      5,      4,     22,     26,     29,     33,      0,      0,      0,      0,      0,      0,      0,      0,    56.6,    64.0,    81.6,    77.6,    52.7,    58.9,    69.1,    69.8,    56.6,    64.0,    81.6,    77.6,    52.7,    58.9,    69.1,    69.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 Mwh per Off-Peak Hour","0643A8","IFED","064 "
"MISO IN. DAY-AHEAD PEAK - ICE FUTURES ENERGY DIV",240123,2024-01-23,0643AZ,IFED,01,064 ,   35237,     150,    1346,      70,   34809,   33719,   35029,   35135,     208,     102,   35237,     150,    1346,      70,   34809,   33719,   35029,   35135,     208,     102,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     156,     -50,      31,       0,     201,     104,     151,     135,       5,      21,  100.0,    0.4,    3.8,    0.2,   98.8,   95.7,   99.4,   99.7,    0.6,    0.3,  100.0,    0.4,    3.8,    0.2,   98.8,   95.7,   99.4,   99.7,    0.6,    0.3,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     29,      1,      3,      1,     21,     15,     23,     18,     29,      1,      3,      1,     21,     15,     23,     18,      0,      0,      0,      0,      0,      0,      0,      0,    59.7,    69.4,    81.7,    86.3,    51.7,    64.2,    68.8,    73.6,    59.7,    69.4,    81.7,    86.3,    51.7,    64.2,    68.8,    73.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 MW","0643AZ","IFED","064 "
"MISO IN. DAY-AHEAD PEAK - ICE FUTURES ENERGY DIV",240116,2024-01-16,0643AZ,IFED,01,064 ,   35081,     200,    1315,      70,   34608,   33615,   34878,   35000,     203,      81,   35081,     200,    1315,      70,   34608,   33615,   34878,   35000,     203,      81,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      21,     -50,   -1747,       0,      71,    1768,      21,      21,       0,       0,  100.0,    0.6,    3.7,    0.2,   98.7,   95.8,   99.4,   99.8,    0.6,    0.2,  100.0,    0.6,    3.7,    0.2,   98.7,   95.8,   99.4,   99.8,    0.6,    0.2,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     29,      1,      3,      1,     21,     15,     23,     18,     29,      1,      3,      1,     21,     15,     23,     18,      0,      0,      0,      0,      0,      0,      0,      0,    59.9,    69.1,    81.9,    86.5,    52.0,    64.4,    68.9,    73.9,    59.9,    69.1,    81.9,    86.5,    52.0,    64.4,    68.9,    73.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 MW","0643AZ","IFED","064 "
"MISO IN. DAY-AHEAD PEAK - ICE FUTURES ENERGY DIV",240109,2024-01-09,0643AZ,IFED,01,064 ,   35060,     250,    3062,      70,   34537,   31847,   34857,   34979,     203,      81,   35060,     250,    3062,      70,   34537,   31847,   34857,   34979,     203,      81,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -1933,     -65,     234,       0,   -1859,   -2151,   -1924,   -1917,      -9,     -16,  100.0,    0.7,    8.7,    0.2,   98.5,   90.8,   99.4,   99.8,    0.6,    0.2,  100.0,    0.7,    8.7,    0.2,   98.5,   90.8,   99.4,   99.8,    0.6,    0.2,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     28,      1,      3,      1,     21,     13,     23,     16,     28,      1,      3,      1,     21,     13,     23,     16,      0,      0,      0,      0,      0,      0,      0,      0,    60.4,    70.4,    82.5,    91.4,    54.7,    69.5,    71.6,    78.5,    60.4,    70.4,    82.5,    91.4,    54.7,    69.5,    71.6,    78.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 MW","0643AZ","IFED","064 "
